project_name,date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
logisticregressionmodel,2022-01-01,0.82960128784179,0.05801208731863232,0.06992767268907028,5.0,6.0,0.011354022555881076,0.013398329416910808,0.024752351972791888
logisticregressionmodel,2022-01-02,0.83539485931396,0.058693490465482,0.07025838118477508,5.0,6.0,0.011499722798665363,0.013543367385864256,0.025043090184529625
logisticregressionmodel,2022-01-03,1.00972652435302,0.07095890232589509,0.07027536725487267,5.0,6.0,0.013901458846198188,0.016374985376993816,0.030276444223192006
logisticregressionmodel,2022-01-04,0.9669780731201101,0.06805292744768991,0.07037690857674335,5.0,6.0,0.013317995601230197,0.015718539555867515,0.029036535157097722
logisticregressionmodel,2022-01-05,0.92532634735107,0.0644147934251361,0.0696130544748196,5.0,6.0,0.012637509240044488,0.0148467222849528,0.027484231524997287
logisticregressionmodel,2022-01-06,0.8757114410400301,0.061595584915743906,0.0703377642783677,5.0,6.0,0.012059675322638616,0.014221668243408203,0.026281343566046826
logisticregressionmodel,2022-01-07,0.7120847702026301,0.0498805729548136,0.07004864454637787,5.0,6.0,0.00979304313659668,0.011489788691202799,0.02128283182779948
logisticregressionmodel,2022-01-08,0.9934186935424799,0.0689322324196497,0.06938890204878362,5.0,6.0,0.013518333435058594,0.01589337984720866,0.02941171328226725
logisticregressionmodel,2022-01-09,0.84767341613769,0.05916193572680156,0.06979331261367688,5.0,6.0,0.011624892552693684,0.013618071873982748,0.02524296442667644
logisticregressionmodel,2022-01-10,0.90730190277099,0.06376971108383601,0.07028499652549672,5.0,6.0,0.01248584853278266,0.014723141988118494,0.027208990520901147
logisticregressionmodel,2022-01-11,0.92232227325439,0.06485281613137987,0.07031470236813007,5.0,6.0,0.012694464789496528,0.014976660410563152,0.027671125200059682
logisticregressionmodel,2022-01-12,0.8452892303466699,0.059119716670778,0.06994022229116917,5.0,6.0,0.011581844753689235,0.013643105824788412,0.025224950578477647
logisticregressionmodel,2022-01-13,0.8101940155029199,0.056755294316344795,0.07005148548414522,5.0,6.0,0.011112623744540744,0.013103485107421875,0.02421610885196262
logisticregressionmodel,2022-01-14,0.81431865692138,0.05689809406465955,0.06987202562663675,5.0,6.0,0.011141763793097602,0.013135274251302084,0.024277038044399686
logisticregressionmodel,2022-01-15,0.8647203445434499,0.060141045305464,0.06954970550301606,5.0,6.0,0.01177920235527886,0.013881524403889975,0.02566072675916885
logisticregressionmodel,2022-01-16,0.83892345428466,0.0585582963559362,0.06980171558782759,5.0,6.0,0.011468264791700577,0.013517141342163086,0.02498540613386366
logisticregressionmodel,2022-01-17,0.8631944656371999,0.060676544361644325,0.0702930182909052,5.0,6.0,0.011884503894382052,0.01400470733642578,0.02588921123080784
logisticregressionmodel,2022-01-18,0.75149536132812,0.0528183673421542,0.07028435577939936,5.0,6.0,0.010344386100769043,0.012191931406656902,0.022536317507425945
logisticregressionmodel,2022-01-19,0.8448839187621999,0.05934804105096394,0.07024401782662817,5.0,6.0,0.011629197332594132,0.013693173726399742,0.025322371058993872
logisticregressionmodel,2022-01-20,0.87039470672607,0.060937153902318755,0.07001094265787688,5.0,6.0,0.011940466033087837,0.014059940973917644,0.02600040700700548
logisticregressionmodel,2022-01-21,0.82578659057617,0.058052754203478496,0.070299947790353,5.0,6.0,0.011366605758666992,0.013403097788492838,0.024769703547159832
logisticregressionmodel,2022-01-22,0.81880092620849,0.0575442629257838,0.0702786978908851,5.0,6.0,0.011269251505533854,0.013283491134643556,0.024552742640177413
logisticregressionmodel,2022-01-23,0.8188247680664,0.0573244754870732,0.0700082334129203,5.0,6.0,0.011215607325236005,0.013243357340494791,0.024458964665730797
logisticregressionmodel,2022-01-24,0.9051084518432599,0.0636346721914079,0.0703061296818247,5.0,6.0,0.012456046210394964,0.014695326487223308,0.027151372697618283
logisticregressionmodel,2022-01-25,1.0847806930541901,0.0757028030951817,0.06978627438698287,5.0,6.0,0.014813741048177084,0.017486810684204105,0.03230055173238119
logisticregressionmodel,2022-01-26,0.95529556274414,0.0671565485927793,0.07029923639535016,5.0,6.0,0.013154082828097874,0.015499989191691084,0.02865407201978896
logisticregressionmodel,2022-01-27,0.97060203552246,0.0677302310599221,0.06978167011927185,5.0,6.0,0.013255410724216035,0.015643437703450523,0.028898848427666563
logisticregressionmodel,2022-01-28,0.83687305450439,0.0588435854183303,0.07031363371255647,5.0,6.0,0.011519259876675075,0.013587872187296552,0.025107132063971624
logisticregressionmodel,2022-01-29,0.8362054824829099,0.0587852237820625,0.07029997412539563,5.0,6.0,0.011508663495381674,0.013573567072550457,0.025082230567932132
logisticregressionmodel,2022-01-30,0.9437799453735299,0.0663958294987678,0.07035096456991285,5.0,6.0,0.0129928191502889,0.015336672465006512,0.028329491615295414
logisticregressionmodel,2022-01-31,1.47740840911865,0.10368161986933816,0.07017803555835275,5.0,6.0,0.020341740714179147,0.023896694183349613,0.04423843489752875
logisticregressionmodel,2022-02-01,0.76730251312255,0.05375479221343995,0.07005684367523228,5.0,6.0,0.010546048482259115,0.012389818827311199,0.02293586730957032
logisticregressionmodel,2022-02-02,0.84891319274902,0.05924342471361162,0.06978737663596024,5.0,6.0,0.011596083641052246,0.013681650161743164,0.02527773380279541
logisticregressionmodel,2022-02-03,1.00648403167724,0.07079483783245084,0.07033875909037073,5.0,6.0,0.01385807991027832,0.01634836196899414,0.03020644187927246
logisticregressionmodel,2022-02-04,0.8270263671875,0.058117169307337874,0.07027245032704237,5.0,6.0,0.011382169193691677,0.013415018717447918,0.0247971879111396
