project_name,date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
xgboostmodel,2022-01-01,5.61738014221191,0.4009733115434647,0.07138083971393407,5.0,6.0,0.0778774420420329,0.09320815404256184,0.1710855960845947
xgboostmodel,2022-01-02,7.60717391967773,0.5436518352892664,0.07146567713970411,5.0,6.0,0.10554161336686876,0.12642145156860354,0.2319630649354723
xgboostmodel,2022-01-03,5.657219886779781,0.40357754434479615,0.07133849353953987,5.0,6.0,0.07843507660759821,0.09376168251037599,0.1721967591179742
xgboostmodel,2022-01-04,5.73010444641113,0.40915744451019503,0.07140488421052389,5.0,6.0,0.0794791513019138,0.09509841601053873,0.17457756731245255
xgboostmodel,2022-01-05,6.801414489746089,0.48597889737288164,0.0714526218194098,5.0,6.0,0.09435017903645833,0.11300524075826009,0.20735541979471842
xgboostmodel,2022-01-06,6.9772005081176705,0.49863436985015874,0.0714662520118232,5.0,6.0,0.0967999299367269,0.11595527331034342,0.21275520324707045
xgboostmodel,2022-01-07,5.047607421875,0.3602916810711225,0.07137870498995491,5.0,6.0,0.06999274094899498,0.08373498916625977,0.15372773011525473
xgboostmodel,2022-01-08,8.48340988159179,0.6062324280341468,0.07146093805388497,5.0,6.0,0.11770129203796388,0.14096339543660483,0.2586646874745687
xgboostmodel,2022-01-09,5.56130409240722,0.3971649043427574,0.07141578625146597,5.0,6.0,0.0771290726131863,0.09233156840006512,0.16946064101325142
xgboostmodel,2022-01-10,6.76620006561279,0.4833516924381257,0.07143621053929775,5.0,6.0,0.09386936823527019,0.11236508687337239,0.20623445510864258
xgboostmodel,2022-01-11,10.06300449371337,0.7193624242941541,0.07148584945416238,5.0,6.0,0.13963778813680014,0.1672967274983724,0.30693451563517254
xgboostmodel,2022-01-12,9.19082164764404,0.6569971176915701,0.0714840460275914,5.0,6.0,0.127529435687595,0.15279531478881836,0.28032475047641336
xgboostmodel,2022-01-13,8.08358192443847,0.5774426018198333,0.07143400131494865,5.0,6.0,0.11208752791086836,0.13429323832194012,0.24638076623280847
xgboostmodel,2022-01-14,5.4576873779296795,0.38970330705907613,0.07140447593883727,5.0,6.0,0.07569856113857695,0.09057839711507161,0.1662769582536486
xgboostmodel,2022-01-15,6.1122179031372,0.43667883643839106,0.07144359762014664,5.0,6.0,0.08478495809766984,0.10153532028198245,0.18632027837965226
xgboostmodel,2022-01-16,5.84650039672851,0.41761879524919726,0.07143055963579191,5.0,6.0,0.0810914569430881,0.09709636370340985,0.17818782064649796
xgboostmodel,2022-01-17,6.18410110473632,0.44174853793780017,0.07143294238825919,5.0,6.0,0.08577505747477215,0.10270833969116212,0.18848339716593424
xgboostmodel,2022-01-18,8.69529247283935,0.6215475458237861,0.07148092462274895,5.0,6.0,0.12066794766320126,0.1445313294728597,0.26519927713606095
xgboostmodel,2022-01-19,7.555198669433589,0.5400062508450615,0.07147479165965404,5.0,6.0,0.10482933786180285,0.125578244527181,0.2304075823889839
xgboostmodel,2022-01-20,7.97851085662841,0.5701247355871732,0.0714575371058777,5.0,6.0,0.11069013012780085,0.13256827990214032,0.2432584100299412
xgboostmodel,2022-01-21,6.81788921356201,0.4871524940000641,0.0714520988447612,5.0,6.0,0.09457634554968941,0.1132798194885254,0.2078561650382148
xgboostmodel,2022-01-22,7.90588855743408,0.5646167009472848,0.07141723499458681,5.0,6.0,0.1096417506535848,0.13126651446024576,0.24090826511383054
xgboostmodel,2022-01-23,10.12170314788818,0.7235941085749203,0.07148936280806584,5.0,6.0,0.1404547029071384,0.1682853698730469,0.30874007278018534
xgboostmodel,2022-01-24,5.42559623718261,0.38751505613327025,0.07142349691957499,5.0,6.0,0.07525682449340822,0.09008646011352539,0.1653432846069336
xgboostmodel,2022-01-25,5.9991121292114205,0.42850789692666796,0.0714285527086814,5.0,6.0,0.08320874638027616,0.0996251900990804,0.18283393647935653
xgboostmodel,2022-01-26,5.8144807815551705,0.4151856117116081,0.07140544913806733,5.0,6.0,0.08061793115403916,0.09653170903523765,0.1771496401892768
xgboostmodel,2022-01-27,5.767607688903801,0.4119473169843356,0.07142429568794588,5.0,6.0,0.07999440034230551,0.09577353795369466,0.17576793829600015
xgboostmodel,2022-01-28,7.9474925994873,0.5680558466249042,0.07147610891283493,5.0,6.0,0.11027389102511938,0.13210177421569824,0.24237566524081758
xgboostmodel,2022-01-29,8.88268947601318,0.6342382525867887,0.0714016013167505,5.0,6.0,0.12318756845262317,0.1474265257517497,0.2706140942043728
xgboostmodel,2022-01-30,6.760215759277339,0.4829908126393955,0.07144606471717502,5.0,6.0,0.09377896785736084,0.11230150858561201,0.20608047644297292
xgboostmodel,2022-01-31,5.77421188354492,0.41241886658800986,0.07142426965025336,5.0,6.0,0.08008910550011529,0.09588003158569337,0.1759691370858087
xgboostmodel,2022-02-01,5.4058074951171795,0.38604173525174473,0.07141240889551433,5.0,6.0,0.07497270901997884,0.08974194526672365,0.16471465428670248
xgboostmodel,2022-02-02,5.75830936431884,0.41116083184878044,0.0714030465949821,5.0,6.0,0.07986227671305339,0.09557008743286137,0.17543236414591473
xgboostmodel,2022-02-03,5.8447122573852495,0.41728492322895266,0.07139528942621262,5.0,6.0,0.08104874028099908,0.09699662526448569,0.1780453655454848
xgboostmodel,2022-02-04,5.94921112060546,0.4244117171896829,0.07133915885413884,5.0,6.0,0.08245441648695204,0.09863177935282388,0.18108619583977603
xgboostmodel,2022-02-05,5.70387840270996,0.4073541320363681,0.07141704350549108,5.0,6.0,0.0791082779566447,0.09469985961914065,0.17380813757578537
