,project_name,date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
365,projectexcecuterdataload,2022-01-01,0.0022201538085937,1.4601895133654275e-10,6.576974566867126e-08,5.0,6.0,2.9583772023518877e-09,3.2718976338704433e-09,6.23027483622233e-09
366,projectexcecuterdataload,2022-01-02,0.0020790100097656,1.3238933622837069e-10,6.367902780963303e-08,5.0,6.0,2.697110176086426e-09,2.9516220092773443e-09,5.648732185363771e-09
367,projectexcecuterdataload,2022-01-03,0.0022530555725097,1.4874922043747374e-10,6.60211058495003e-08,5.0,6.0,3.009703424241808e-09,3.33706537882487e-09,6.3467688030666774e-09
368,projectexcecuterdataload,2022-01-04,0.0030310153961181,2.0121260623137158e-10,6.63845543275912e-08,5.0,6.0,4.081924756368002e-09,4.503329594930013e-09,8.585254351298015e-09
369,projectexcecuterdataload,2022-01-05,0.0022518634796142,1.447647970252567e-10,6.428666672548674e-08,5.0,6.0,2.963675392998589e-09,3.213087717692057e-09,6.176763110690646e-09
370,projectexcecuterdataload,2022-01-06,0.0022518634796142,1.4811438242594402e-10,6.57741394035645e-08,5.0,6.0,3.000100453694661e-09,3.319581349690755e-09,6.319681803385416e-09
371,projectexcecuterdataload,2022-01-07,0.0024209022521972,1.5955854051642948e-10,6.590870836342548e-08,5.0,6.0,3.2348765267266163e-09,3.573099772135416e-09,6.807976298862034e-09
372,projectexcecuterdataload,2022-01-08,0.0022699832916259,1.4944769746727414e-10,6.583647466419262e-08,5.0,6.0,3.041492568122016e-09,3.335078557332356e-09,6.376571125454373e-09
373,projectexcecuterdataload,2022-01-09,0.0023410320281982,1.5573709507783258e-10,6.652497411481144e-08,5.0,6.0,3.140171368916829e-09,3.504753112792969e-09,6.644924481709799e-09
374,projectexcecuterdataload,2022-01-10,0.0021948814392089,1.4512955725193028e-10,6.612182082337608e-08,5.0,6.0,2.9375155766805e-09,3.25481096903483e-09,6.1923265457153335e-09
375,projectexcecuterdataload,2022-01-11,0.0022418498992919,1.4723585353957284e-10,6.567605332813407e-08,5.0,6.0,2.988841798570421e-09,3.2933553059895843e-09,6.282197104560005e-09
376,projectexcecuterdataload,2022-01-12,0.0021679401397705,1.4250328361988069e-10,6.573211178928846e-08,5.0,6.0,2.8918186823527022e-09,3.1884511311848956e-09,6.080269813537597e-09
377,projectexcecuterdataload,2022-01-13,0.0021960735321044,1.4518233107195959e-10,6.610995895607909e-08,5.0,6.0,2.936191029018826e-09,3.258387247721354e-09,6.1945782767401814e-09
378,projectexcecuterdataload,2022-01-14,0.0022518634796142,1.4916209797064467e-10,6.623940541732841e-08,5.0,6.0,3.011027971903483e-09,3.353357315063476e-09,6.364385286966961e-09
379,projectexcecuterdataload,2022-01-15,0.0021698474884033,1.4033179614279006e-10,6.467357585857477e-08,5.0,6.0,2.8663211398654522e-09,3.1212965647379557e-09,5.9876177046034075e-09
380,projectexcecuterdataload,2022-01-16,0.0026800632476806,1.7367088086075254e-10,6.480103818857557e-08,5.0,6.0,3.5501188702053483e-09,3.859996795654297e-09,7.410115665859646e-09
381,projectexcecuterdataload,2022-01-17,0.0048661231994628,3.3200786266062003e-10,6.822841285589853e-08,5.0,6.0,6.602538956536187e-09,7.563432057698568e-09,1.4165971014234754e-08
382,projectexcecuterdataload,2022-01-18,0.0021488666534423,1.4230926222271388e-10,6.622526437121689e-08,5.0,6.0,2.873606152004665e-09,3.198385238647461e-09,6.0719913906521265e-09
383,projectexcecuterdataload,2022-01-19,0.0021817684173583,1.4431777172618446e-10,6.61471541058051e-08,5.0,6.0,2.917978498670788e-09,3.239711125691732e-09,6.157689624362522e-09
384,projectexcecuterdataload,2022-01-20,0.0022599697113037,1.4862815108564166e-10,6.576555001699666e-08,5.0,6.0,3.0136770672268342e-09,3.3279259999593102e-09,6.3416030671861445e-09
385,projectexcecuterdataload,2022-01-21,0.0022220611572265,1.4573335183991327e-10,6.558476186218407e-08,5.0,6.0,2.9597017500135635e-09,3.258387247721354e-09,6.218088997734917e-09
386,projectexcecuterdataload,2022-01-22,0.0022609233856201,1.4560296946101722e-10,6.439978036720685e-08,5.0,6.0,2.9775831434461807e-09,3.2349427541097e-09,6.212525897555882e-09
387,projectexcecuterdataload,2022-01-23,0.0022900104522705,1.5055594768789083e-10,6.574465524321826e-08,5.0,6.0,3.055400318569607e-09,3.3684571584065754e-09,6.423857476976183e-09
388,projectexcecuterdataload,2022-01-24,0.0022408962249755,1.4733053598139024e-10,6.57462556004776e-08,5.0,6.0,3.004405233595106e-09,3.2818317413330077e-09,6.286236974928114e-09
389,projectexcecuterdataload,2022-01-25,0.0021567344665527,1.4233409696155127e-10,6.599518817402413e-08,5.0,6.0,2.8802288903130427e-09,3.192822138468424e-09,6.073051028781467e-09
390,projectexcecuterdataload,2022-01-26,0.0022010803222656,1.4442642370859786e-10,6.561615323512422e-08,5.0,6.0,2.930561701456706e-09,3.2317638397216804e-09,6.162325541178386e-09
391,projectexcecuterdataload,2022-01-27,0.0020599365234375,1.3228844510184394e-10,6.421967065329218e-08,5.0,6.0,2.702739503648546e-09,2.941687901814778e-09,5.644427405463324e-09
392,projectexcecuterdataload,2022-01-28,0.0046329498291015,3.1595375617345176e-10,6.819710288870592e-08,5.0,6.0,6.294250488281251e-09,7.186730702718099e-09,1.3480981190999353e-08
393,projectexcecuterdataload,2022-01-29,0.0027070045471191,1.7454164889123706e-10,6.447778193686025e-08,5.0,6.0,3.529257244533962e-09,3.918011983235677e-09,7.447269227769638e-09
394,projectexcecuterdataload,2022-01-30,0.001965045928955,1.2901336391766863e-10,6.565412137021759e-08,5.0,6.0,2.616643905639648e-09,2.8880437215169267e-09,5.5046876271565744e-09
395,projectexcecuterdataload,2022-01-31,0.0032157897949218,2.1299824198087064e-10,6.623512591439307e-08,5.0,6.0,4.313389460245768e-09,4.774729410807292e-09,9.088118871053061e-09
396,projectexcecuterdataload,2022-02-01,0.0042281150817871,2.79808345966869e-10,6.617803455070612e-08,5.0,6.0,5.656811926099989e-09,6.28193219502767e-09,1.1938744121127662e-08
397,projectexcecuterdataload,2022-02-02,0.0022840499877929,1.4663050678041248e-10,6.419759093017861e-08,5.0,6.0,3.006723192003038e-09,3.249645233154296e-09,6.256368425157335e-09
398,projectexcecuterdataload,2022-02-03,0.0020749568939208,1.3258646196789215e-10,6.389841753163026e-08,5.0,6.0,2.6888317532009547e-09,2.968311309814453e-09,5.657143063015408e-09
399,projectexcecuterdataload,2022-02-04,0.002073049545288,1.3343860394424862e-10,6.43682657018721e-08,5.0,6.0,2.733535236782498e-09,2.959966659545898e-09,5.693501896328396e-09
400,projectexcecuterdataload,2022-02-05,0.0022590160369873,1.4977830992804634e-10,6.630245535033717e-08,5.0,6.0,3.020630942450629e-09,3.370046615600586e-09,6.390677558051216e-09
401,projectexcecuterdataload,2022-02-06,0.0027120113372802,1.8095677236715958e-10,6.672419465201467e-08,5.0,6.0,3.6428372065226237e-09,4.078149795532227e-09,7.720987002054852e-09
402,projectexcecuterdataload,2022-02-07,0.0027048587799072,1.7781673007541235e-10,6.573974633955242e-08,5.0,6.0,3.6054187350802952e-09,3.9815902709960945e-09,7.587009006076391e-09
403,projectexcecuterdataload,2022-02-08,0.0022850036621093,1.4932041943073274e-10,6.53480000521703e-08,5.0,6.0,3.052751223246257e-09,3.3183892567952473e-09,6.371140480041505e-09
404,projectexcecuterdataload,2022-02-09,0.0016429424285888,1.0557247479756672e-10,6.425817056063464e-08,5.0,6.0,2.1398067474365235e-09,2.364714940388997e-09,4.50452168782552e-09
405,projectexcecuterdataload,2022-02-10,0.0021398067474365,1.4126930753389994e-10,6.601965701021358e-08,5.0,6.0,2.86102294921875e-09,3.166596094767252e-09,6.027619043986003e-09
406,projectexcecuterdataload,2022-02-11,0.0024011135101318,1.5669323252307046e-10,6.525856935204493e-08,5.0,6.0,3.1905041800604927e-09,3.495216369628906e-09,6.685720549689399e-09
407,projectexcecuterdataload,2022-02-12,0.0023229122161865,1.5365252918667268e-10,6.614650700788032e-08,5.0,6.0,3.1040774451361763e-09,3.4519036610921222e-09,6.555981106228299e-09
408,projectexcecuterdataload,2022-02-13,0.0023000240325927,1.5149966776371003e-10,6.58687325075153e-08,5.0,6.0,3.070632616678873e-09,3.3934911092122397e-09,6.464123725891113e-09
409,projectexcecuterdataload,2022-02-14,0.0024139881134033,1.5634399400817026e-10,6.476585080932788e-08,5.0,6.0,3.1875239478217234e-09,3.483295440673828e-09,6.6708193884955515e-09
410,projectexcecuterdataload,2022-02-15,0.0022041797637939,1.4226424925857123e-10,6.454294318250106e-08,5.0,6.0,2.907050980461968e-09,3.163019816080729e-09,6.070070796542698e-09
411,projectexcecuterdataload,2022-02-16,0.0022211074829101,1.461012164089415e-10,6.577854405204906e-08,5.0,6.0,2.970629268222385e-09,3.263155619303385e-09,6.23378488752577e-09
412,projectexcecuterdataload,2022-02-17,0.0022168159484863,1.452894308831957e-10,6.553969037546905e-08,5.0,6.0,2.970960405137804e-09,3.2281875610351567e-09,6.199147966172961e-09
413,projectexcecuterdataload,2022-02-18,0.0021631717681884,1.3983044485251107e-10,6.464139691024652e-08,5.0,6.0,2.836187680562337e-09,3.130038579305013e-09,5.96622625986735e-09
414,projectexcecuterdataload,2022-02-19,0.0027809143066406,1.8427376217312287e-10,6.626373266270387e-08,5.0,6.0,3.7040975358751086e-09,4.158417383829753e-09,7.862514919704862e-09
415,projectexcecuterdataload,2022-02-20,0.0022158622741699,1.4655600256390044e-10,6.613949083040435e-08,5.0,6.0,2.964999940660264e-09,3.288189570109048e-09,6.253189510769314e-09
416,projectexcecuterdataload,2022-02-21,0.0024781227111816,1.5971530980534024e-10,6.445012149103115e-08,5.0,6.0,3.302759594387478e-09,3.5119056701660156e-09,6.814665264553494e-09
417,projectexcecuterdataload,2022-02-22,0.0026297569274902,1.7011330452230246e-10,6.46878434824217e-08,5.0,6.0,3.466672367519802e-09,3.7916501363118494e-09,7.258322503831652e-09
418,projectexcecuterdataload,2022-02-23,0.0021808147430419,1.4401509834660422e-10,6.603729124910414e-08,5.0,6.0,2.9149982664320204e-09,3.229777018229166e-09,6.144775284661187e-09
419,projectexcecuterdataload,2022-02-24,0.0020627975463867,1.3577617373731406e-10,6.582137639980482e-08,5.0,6.0,2.7514166302151154e-09,3.0418237050374353e-09,5.793240335252551e-09
420,projectexcecuterdataload,2022-02-25,0.0024492740631103,1.5973548803064558e-10,6.521748237018292e-08,5.0,6.0,3.258718384636772e-09,3.5568078358968104e-09,6.815526220533583e-09
421,projectexcecuterdataload,2022-02-26,0.0021061897277832,1.3779865278138055e-10,6.542556492591756e-08,5.0,6.0,2.8027428521050347e-09,3.076791763305664e-09,5.879534615410698e-09
422,projectexcecuterdataload,2022-02-27,0.0029890537261962,1.9608112831910456e-10,6.559973365504774e-08,5.0,6.0,3.9945046106974285e-09,4.371802012125651e-09,8.366306622823081e-09
423,projectexcecuterdataload,2022-02-28,0.0017421245574951,1.1547843125131395e-10,6.628597866581513e-08,5.0,6.0,2.335177527533637e-09,2.592007319132487e-09,4.927184846666124e-09
424,projectexcecuterdataload,2022-03-01,0.0025029182434082,1.6636791547139488e-10,6.6469576427256e-08,5.0,6.0,3.363688786824544e-09,3.734827041625977e-09,7.098515828450521e-09
425,projectexcecuterdataload,2022-03-02,0.0021688938140869,1.4185447606775496e-10,6.540406687796955e-08,5.0,6.0,2.901090515984429e-09,3.151496251424154e-09,6.052586767408583e-09
426,projectexcecuterdataload,2022-03-03,0.0020918846130371,1.3780641363726724e-10,6.587668018514298e-08,5.0,6.0,2.793139881557888e-09,3.086725870768229e-09,5.8798657523261185e-09
427,projectexcecuterdataload,2022-03-04,0.0027239322662353,1.7445162296295168e-10,6.404403851203502e-08,5.0,6.0,3.5901864369710286e-09,3.853241602579753e-09,7.443428039550781e-09
428,projectexcecuterdataload,2022-03-05,0.0023801326751708,1.5712784045272406e-10,6.601642088773137e-08,5.0,6.0,3.179245524936252e-09,3.525018692016602e-09,6.704264216952854e-09
429,projectexcecuterdataload,2022-03-06,0.0021829605102539,1.4135002043512132e-10,6.475152425853113e-08,5.0,6.0,2.887513902452257e-09,3.143548965454101e-09,6.031062867906358e-09
430,projectexcecuterdataload,2022-03-07,0.0020480155944824,1.3435904145240787e-10,6.560450116414437e-08,5.0,6.0,2.727905909220378e-09,3.004868825276693e-09,5.732774734497071e-09
431,projectexcecuterdataload,2022-03-08,0.0025160312652587,1.6499579615063138e-10,6.557780041483729e-08,5.0,6.0,3.3583905961778422e-09,3.681580225626628e-09,7.0399708218044705e-09
432,projectexcecuterdataload,2022-03-09,0.0019969940185546,1.3226671470536129e-10,6.62329047941208e-08,5.0,6.0,2.673599455091688e-09,2.9699007670084634e-09,5.643500222100152e-09
433,projectexcecuterdataload,2022-03-10,0.0043380260467529,2.8827388756805006e-10,6.645277931971547e-08,5.0,6.0,5.819731288486057e-09,6.480216979980469e-09,1.2299948268466528e-08
434,projectexcecuterdataload,2022-03-11,0.0024969577789306,1.6536210854848228e-10,6.622543238167988e-08,5.0,6.0,3.345807393391927e-09,3.7097930908203115e-09,7.055600484212239e-09
435,projectexcecuterdataload,2022-03-12,0.0022847652435302,1.4701078871885938e-10,6.434393604994959e-08,5.0,6.0,2.969304720560709e-09,3.3032894134521483e-09,6.272594134012857e-09
436,projectexcecuterdataload,2022-03-13,0.0021169185638427,1.3720417122046156e-10,6.4813155103803e-08,5.0,6.0,2.780556678771973e-09,3.0736128489176434e-09,5.854169527689616e-09
437,projectexcecuterdataload,2022-03-14,0.0026612281799316,1.7538292566935222e-10,6.590300185152006e-08,5.0,6.0,3.522634506225586e-09,3.960529963175456e-09,7.483164469401042e-09
438,projectexcecuterdataload,2022-03-15,0.0023231506347656,1.530471824275123e-10,6.587914711047256e-08,5.0,6.0,3.1001038021511502e-09,3.4300486246744793e-09,6.530152426825629e-09
439,projectexcecuterdataload,2022-03-16,0.0021800994873046,1.4414548072550028e-10,6.611876272844367e-08,5.0,6.0,2.916985087924532e-09,3.2333532969156904e-09,6.1503383848402245e-09
440,projectexcecuterdataload,2022-03-17,0.002267837524414,1.4568213019106126e-10,6.423834539412205e-08,5.0,6.0,2.984537018669976e-09,3.231366475423176e-09,6.215903494093153e-09
441,projectexcecuterdataload,2022-03-18,0.0017309188842773,1.1437794188658396e-10,6.607931944444447e-08,5.0,6.0,2.3136536280314127e-09,2.5665760040283204e-09,4.880229632059733e-09
