,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
0,-4.660236464971871,0.009464224179585777,-4.660236464971871,1.9151434123768478,6.787912197820906,1.9151434123768478,-3.80850558779618,0.02218130220969518,-3.80850558779618,-1.118478814184941,0.3267765045166,-1.118478814184941,1640995200.0,Project Excecuter DataLoad,0.3267765045166,0.02218130220969518,6.787912197820906,0.009464224179585777,2022-01-01
2,-3.6857461437778802,0.02507845560709636,-4.159572509598658,2.6118559018059875,13.624312789453427,1.9222613638337402,-2.8340152666021887,0.05877637640635172,-3.307841632422967,-0.1484142830887569,0.86207389831542,-0.6249328102686307,1641081600.0,Project Excecuter DataLoad,0.53529739379882,0.036595074196656543,6.836400591632521,0.015614231427510582,2022-01-02
4,-3.080927770400634,0.04591663678487143,-3.8709683414443266,3.0155360527542263,20.40002349885627,1.9133442630208373,-2.2291968932249424,0.10761482163270317,-3.0192374642686346,0.4592339353824912,1.5828609466552601,-0.3274115413013858,1641168000.0,Project Excecuter DataLoad,0.72078704833984,0.04883844522635144,6.775710709402843,0.020838181177775073,2022-01-03
7,-2.9522498907497963,0.052222079700893834,-5.066342063654696,3.2972890588629706,27.03923769063481,1.8929936118734008,-2.1005190135741048,0.12239288819498488,-4.214611186479004,0.5908090551559678,1.80544853210447,-1.5024346123643528,1641254400.0,Project Excecuter DataLoad,0.22258758544920998,0.014778066562281715,6.63921419177854,0.006305442916022406,2022-01-04
10,-2.8587706888316124,0.0573392046822442,-5.275162524726102,3.5153991392282635,33.62934803752041,1.8855700929699168,-2.007039811655921,0.13438589401377574,-4.42343164755041,0.686844074423293,1.98743343353269,-1.7038315545322495,1641340800.0,Project Excecuter DataLoad,0.18198490142822002,0.011993005818790859,6.590110346885599,0.005117124981350368,2022-01-05
13,-2.7526051085083685,0.06376153892940946,-5.0479736374619275,3.693719049611755,40.19405301019611,1.8817075673200792,-1.9008742313326767,0.14943791878885695,-4.1962427602862356,0.7960288879841689,2.21672058105466,-1.4727801416182351,1641427200.0,Project Excecuter DataLoad,0.22928714752197002,0.015052024775081208,6.564704972675702,0.006422334247165255,2022-01-06
16,-2.666455075654101,0.06949815485212539,-5.160885803012244,3.845266551170246,46.771149594183875,1.883593399324323,-1.814724198478409,0.1628828255269263,-4.309154925836552,0.8842387806778099,2.42114067077633,-1.5875781391728303,1641513600.0,Project Excecuter DataLoad,0.20442008972167003,0.013444906738069322,6.577096583987768,0.005736615922715928,2022-01-07
19,-2.5536271821658882,0.07779896259307863,-4.791402450727555,3.9778067467667193,53.39978644317747,1.891399179588434,-1.7018963049901965,0.1823374286293984,-3.9396715735518635,0.9986571161743524,2.7146339416503498,-1.225900567152218,1641600000.0,Project Excecuter DataLoad,0.29349327087402,0.0194546031024721,6.628636848993594,0.008300807740953235,2022-01-08
22,-2.4352704652078137,0.08757405810885961,-4.627917401723053,4.094919963436591,60.034534007371505,1.8923206209705787,-1.583539588032122,0.20524731998973428,-3.7761865245473616,1.1183938601096555,3.0599355697631396,-1.0633369595298576,1641686400.0,Project Excecuter DataLoad,0.34530162811279,0.022909891360335884,6.634747564194036,0.00977509551578098,2022-01-09
25,-2.363983965876743,0.09404480457305911,-5.040463803986817,4.198912268568197,66.61383365856904,1.8839283036842978,-1.5122530887010515,0.2204128084778786,-4.1887329268111255,1.1910208847768655,3.29043865203853,-1.4674910445073344,1641772800.0,Project Excecuter DataLoad,0.23050308227539001,0.015165488488144347,6.579299651197537,0.006470746464199492,2022-01-10
