,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
1,-7.056467681004104,0.0008618169360690642,-7.056467681004104,1.4975270509738583,4.470619774259749,1.4975270509738583,-6.204736803828412,0.002019840353065067,-6.204736803828412,-3.0970936688143134,0.04518032073974,-3.0970936688143134,1640995200.0,LogisticRegression model,0.04518032073974,0.002019840353065067,4.470619774259749,0.0008618169360690642,2022-01-01
3,-6.280650740905996,0.001872181892395019,-6.897443670500606,2.1876795395821085,8.914503343735266,1.4915286719462135,-5.428919863730304,0.004387832701206207,-6.045712793324914,-2.3180351003757824,0.09846687316893,-2.932071279283209,1641081600.0,LogisticRegression model,0.053286552429190004,0.0023679923481411407,4.443883569475517,0.0010103649563259548,2022-01-02
5,-2.9495763243302715,0.052361885706583663,-2.98598584835572,2.7728467269905512,16.004128608589735,1.9586324851069399,-2.09784544715458,0.12272055153052011,-2.1342549711800283,0.5696022255682636,1.76756381988523,0.5122827297011188,1641168000.0,LogisticRegression model,1.6690969467163,0.1183327188293139,7.08962526485447,0.050489703814188644,2022-01-03
8,-2.5731799268757074,0.07629255453745525,-3.7325944279801577,3.135838094272994,23.007910561965943,1.9464502822108773,-1.7214490497000157,0.17880686006943386,-2.8808635508044658,0.9432691761533208,2.56836414337155,-0.22214364702726172,1641254400.0,LogisticRegression model,0.80080032348632,0.056086308538913734,7.003781953376207,0.023930668830871582,2022-01-04
11,-2.3008530523541726,0.10017335414886475,-3.734680506453444,3.4010104720654017,29.99439323609271,1.943977235627864,-1.4491221751784809,0.23477629011869428,-2.8829496292777534,1.2147567710766511,3.36947441101071,-0.2217566789175249,1641340800.0,LogisticRegression model,0.8011102676391599,0.0559694300492604,6.986482674126765,0.023880799611409504,2022-01-05
14,-2.083107076046809,0.12454264693790013,-3.7144314315020335,3.6117502501981757,37.030809309590204,1.9510989600753885,-1.2313761988711176,0.29189060162835645,-2.8627005543263415,1.430591222545937,4.18117046356197,-0.20862932841365017,1641427200.0,LogisticRegression model,0.81169605255126,0.0571143115096622,7.036416073497498,0.024369292789035376,2022-01-06
17,-1.9005640637790548,0.1494842767715454,-3.6912169906792185,3.785535866972369,44.05927414383449,1.9499683084683939,-1.0488331866033636,0.3503462994694708,-2.839486113503528,1.6120085724345539,5.01286983489986,-0.18428423598383,1641513600.0,LogisticRegression model,0.83169937133789,0.0584556978411144,7.028464834244289,0.02494162983364529,2022-01-07
20,-1.7559629750844092,0.17274081707000732,-3.761168883347435,3.9336003392011634,51.0905903922198,1.9503739213528843,-0.904232097908718,0.4048526529669759,-2.9094380061717446,1.7557978665848584,5.78806400299068,-0.2546417415365367,1641600000.0,LogisticRegression model,0.77519416809082,0.0545063534975051,7.031316248385311,0.023256540298461914,2022-01-08
23,-1.5921000496619409,0.20349780718485513,-3.481637989755011,4.0625428301560165,58.12191749493298,1.9503754650637783,-0.7403691724862496,0.47693781069914476,-2.6299071125793194,1.9188712848044087,6.81326389312739,0.02488760834498559,1641686400.0,LogisticRegression model,1.02519989013671,0.07208515773216882,7.031327102713179,0.03075699011484782,2022-01-09
26,-1.471356883097867,0.22961371474795872,-3.645210665137763,4.17638412179937,65.12992505111335,1.9470534318555939,-0.6196260059221758,0.5381456632547905,-2.7934797879620716,2.0394867067386016,7.68666267395014,-0.13536303382957848,1641772800.0,LogisticRegression model,0.8733987808227499,0.0612078525556458,7.00800755618037,0.02611590756310357,2022-01-10
29,-1.3827108943765867,0.25089747375912136,-3.8498109848472275,4.277916975724993,72.09011803366676,1.9402072013402958,-0.5309800172008954,0.5880284092492525,-2.9980801076715355,2.1286303076743174,8.40334892272943,-0.3331171230237496,1641859200.0,LogisticRegression model,0.71668624877929,0.04988274599446192,6.960192982553415,0.021283759011162653,2022-01-11
32,-1.292771016543244,0.27450905905829537,-3.746017784896417,4.370998283691032,79.12257906734852,1.9505367204752007,-0.44104013936755254,0.6433668817149266,-2.8942869077207254,2.2181430788778123,9.19024944305413,-0.2396534422078433,1641945600.0,LogisticRegression model,0.7869005203246999,0.05533847246567409,7.032461033681768,0.023611585299173992,2022-01-12
35,-1.2103847717491882,0.2980825636121962,-3.7476318860313076,4.456140463604238,86.15435073915688,1.9504386899763606,-0.3586538945734967,0.698616104337904,-2.895901008855616,2.300177985281741,9.97595787048332,-0.2411695128438969,1642032000.0,LogisticRegression model,0.78570842742919,0.055249222622977365,7.03177167180836,0.023573504553900827,2022-01-13
38,-1.1304291616383082,0.32289465268452966,-3.6964242819884037,4.533937652436925,93.12453211670224,1.9416412470372009,-0.27869828446261663,0.756768197496732,-2.844693404812712,2.3804953135477023,10.81025600433341,-0.18116446586183096,1642118400.0,LogisticRegression model,0.83429813385009,0.05815209315882791,6.9701813775453525,0.024812089072333454,2022-01-14
41,-1.0582285081305352,0.34707009792327886,-3.7224178204907963,4.606652099406864,100.14830119950605,1.9492999803373665,-0.20649763095484366,0.8134281885027884,-2.870686943315105,2.452464831039094,11.61694526672354,-0.21481673766438794,1642204800.0,LogisticRegression model,0.80668926239013,0.05665999100605642,7.0237690828038035,0.024175445238749187,2022-01-15
44,-1.0026191067631802,0.36691718631320536,-3.9196979632158273,4.674422000245487,107.1706046034661,1.9490912844402826,-0.15088822958748868,0.8599438095622591,-3.067967086040136,2.5079184689321767,12.27934360504141,-0.41188818449232845,1642291200.0,LogisticRegression model,0.66239833831787,0.046515621059470706,7.0223034039600565,0.019847088389926493,2022-01-16
47,-0.9370255631469295,0.39179146289825445,-3.693921078368447,4.737939253444158,114.19862460886326,1.9499050168485677,-0.08529468597123806,0.9182416515946387,-2.842190201192755,2.573287538429184,13.10884952545156,-0.1869250320532386,1642377600.0,LogisticRegression model,0.82950592041015,0.05829784203237958,7.028020005397155,0.0248742765850491,2022-01-17
50,-0.8734991156294403,0.4174881511264378,-3.6613931581010783,4.797327177920519,121.18607543933052,1.9441158016718112,-0.021768238453748787,0.9784669797950319,-2.809662280925387,2.6369663257583325,13.97075653076161,-0.14860789660911605,1642464000.0,LogisticRegression model,0.8619070053100499,0.06022532820039323,6.987450830467271,0.02569668822818333,2022-01-18
