,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,energy_consumed,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_rate,emissions_log_cumsum,emissions_cumsum,emissions_log,emissions,duration_log_cumsum,duration_cumsum,duration_log,duration,timestamp,date
0,-1.4779036971966135,0.22811538643307167,-1.4779036971966135,0.22811538643307167,2.912510998049887,18.40295037171832,2.912510998049887,18.40295037171832,-0.626172820020922,0.5346340311831899,-0.626172820020922,0.5346340311831899,2.0170947037596347,7.516455650329579,2.0170947037596347,7.516455650329579,1640995200.0,2022-01-01
2,-0.7692693879008135,0.4633514748679268,-1.4471656375049284,0.23523608843485513,3.6063104263624965,36.82991514029816,2.913815068405373,18.426964768579843,0.08246148927487824,1.08595685164796,-0.5954347603292364,0.5513228204647701,2.7261676567727497,15.27423858642575,2.048696589262614,7.75778293609617,1641081600.0,2022-01-02
4,-0.21851427001098664,0.8037120103836062,-1.0777498246218344,0.34036053551567935,4.057760340584635,57.84461366053851,3.0452221224222393,21.01469852024035,0.6332166071647051,1.8836598387360577,-0.22601894744614293,0.7977029870880975,3.2765232480840742,26.48353576660151,2.416743539326969,11.20929718017576,1641168000.0,2022-01-03
7,0.006926954116984164,1.00695100095537,-1.5933726989498895,0.2032389905717638,4.364750153592004,78.62975212628066,3.0342382344934355,20.785138465742143,0.8586578312926759,2.3599910609391004,-0.7416418217741978,0.4763312222030428,3.502068665937014,33.18402767181389,1.9021809423903153,6.70049190521238,1641254400.0,2022-01-04
10,0.22561723441742593,1.2530959314770171,-1.4018347680676153,0.24614493052164718,4.598663680276838,99.35146157632059,3.0311819164031997,20.721709450039928,1.0773481115931176,2.936880934602685,-0.5501038908919237,0.5768898736635845,3.720616805129885,41.28985404968253,2.0925831090115965,8.105826377868649,1641340800.0,2022-01-05
13,0.3692774305490841,1.4466889037026303,-1.6419974052860744,0.19359297222561314,4.788181167636373,120.08275950747188,3.0316445357347335,20.731297931151296,1.2210083077247758,3.3906047836078543,-0.790266528110383,0.4537238490051694,3.864556951649,47.68214225769033,1.855092296309798,6.3922882080078,1641427200.0,2022-01-06
16,0.5409577115698,1.7176510890324914,-1.3057760053668905,0.2709621853298611,4.947569855510201,140.83230488492424,3.0325243369163224,20.749545377452367,1.3926885887454916,4.02565885736545,-0.45404512819119897,0.6350540737575954,4.036029598515384,56.60116672515858,2.188186575977566,8.91902446746825,1641513600.0,2022-01-07
19,0.6494320683202669,1.9144532415601947,-1.6255563567830313,0.1968021525277032,5.085311183995155,161.63022815277571,3.0348531388308833,20.797923267851484,1.5011629454959585,4.486904062244628,-0.7738254796073395,0.461245204879178,4.14465017701972,63.095545768737665,1.8709370402524836,6.49437904357909,1641600000.0,2022-01-08
22,0.7979918638125129,2.2210762235853414,-1.1821363576721144,0.30662298202514654,5.206415825824348,182.43899183585154,3.0353742288894328,20.80876368307584,1.6497227409882045,5.205536345216964,-0.33040548049642243,0.7186322829723361,4.293156814651908,73.19717407226548,2.3126966290240323,10.101628303527821,1641686400.0,2022-01-09
25,0.8900098850400847,2.4351537227630624,-1.5414171838289243,0.21407749917772081,5.3140433532169595,203.1700581487739,3.031633363278307,20.731066312922366,1.7417407622157761,5.707269780039788,-0.6896863066532328,0.5017334348228242,4.385213617989594,80.25536537170396,1.9541888288016807,7.05819129943847,1641772800.0,2022-01-10
28,0.9920581860995482,2.696779237853157,-1.3408411294072295,0.26162551509009463,5.410848128108707,223.82133637027727,3.027777216837766,20.65127822150336,1.8437890632752398,6.320441499756443,-0.4891102522315373,0.6131717197166551,4.487207634832022,88.87293338775619,2.1538029121601237,8.61756801605223,1641859200.0,2022-01-11
31,1.0887430835099572,2.9705380068884963,-1.2955079653586663,0.27375876903533936,5.4994642259346875,244.56086778653133,3.0320416093086413,20.739531416254067,1.9404739606856487,6.962049926744568,-0.4437770881829747,0.6416084269881248,4.583728170317849,97.87862300872786,2.1978565577025155,9.00568962097167,1641945600.0,2022-01-12
34,1.1858145121879202,3.27335192097558,-1.1946368070641291,0.30281391408708364,5.580364794518081,265.1683200942688,3.0256527728867812,20.60745230773744,2.0375453893636117,7.671754897190466,-0.34290592988843727,0.709704970445898,4.680662479590755,107.84149169921857,2.2988650512599884,9.96286869049071,1642032000.0,2022-01-13
37,1.2701466900928715,3.5613749424616508,-1.2447148663253575,0.2880230214860705,5.655507522334347,285.86152702628516,3.0298054788771345,20.6932069320164,2.1218775672685632,8.34679445264737,-0.39298398914966604,0.6750395554569033,4.76495372067416,117.32568740844707,2.249626803716574,9.4841957092285,1642118400.0,2022-01-14
40,1.3248033027722261,3.7614454163445377,-1.609085605087187,0.2000704738828871,5.725449888814315,306.57115715742015,3.030598815814645,20.70963013113499,2.1765341799479176,8.815699622286692,-0.7573547279114952,0.4689051696393225,4.819646486072252,123.92127513885477,1.88640089977363,6.5955877304077,1642204800.0,2022-01-15
43,1.3770609670877623,3.963236411412558,-1.6005227951106933,0.20179099506802028,5.790936876040899,327.31953860406895,3.032468241063206,20.748381446648793,2.228791844263454,9.288637177427612,-0.7487919179350013,0.47293755514091923,4.871909347611914,130.5699825286863,1.8944224583050713,6.64870738983153,1642291200.0,2022-01-16
46,1.4442950396127232,4.238862858878242,-1.288708781218636,0.27562644746568465,5.8523002358912155,348.03402079146895,3.0308330782292447,20.714482187399987,2.2960259167884147,9.934622882352937,-0.43697790404294395,0.6459857049253253,4.9390569076532325,139.63849544525124,2.2048082944074503,9.06851291656493,1642377600.0,2022-01-17
