,project_name,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
0,LogisticRegression model,335.1718187332134,23.22329532598389,2556.2796875943695,1835.0,2202.0,4.605498247676426,5.42690912882487,10.032407376501297
1,Project Excecuter DataLoad,91.7856931686384,5.942750916777383,2381.2235311892605,1835.0,2202.0,1.2190411488215127,1.3434978326161702,2.562538981437683
2,XGBoost model,2711.2145185470563,193.2960841287198,2601.000225618457,1825.0,2190.0,37.60952055454255,45.041666030883796,82.65118658542634
3,All_Projects,3138.172030448908,222.46213037148107,7538.503444402087,5495.0,6594.0,43.43405995104049,51.812072992324836,95.24613294336532
