,energy_consumed_log_cumsum,energy_consumed_cumsum,energy_consumed_log,emissions_rate_log_cumsum,emissions_rate_cumsum,emissions_rate_log,emissions_log_cumsum,emissions_cumsum,emissions_log,duration_log_cumsum,duration_cumsum,duration_log,timestamp,project_name,duration,emissions,emissions_rate,energy_consumed,date
45,1.1381270860997976,3.120917677879333,-1.359569165686908,4.605305566120674,100.01353892968865,1.9666750571287643,1.9898579632754896,7.314494761645795,-0.5078382885112163,4.628698731690803,102.38075256347653,2.1306568403481103,1642118400.0,XGBoost model,8.42039585113525,0.6017950810723836,7.14687399157426,0.25677137904697,2022-01-14
48,1.1911570160275795,3.290886614057752,-1.7721395869909757,4.674293909312892,107.1568778999276,1.9661803099312425,2.0428878932032717,7.712850957367157,-0.9204087098152838,4.68173636333005,107.95736312866208,1.7185811662415638,1642204800.0,XGBoost model,5.57661056518554,0.39835619572136144,7.143338970238944,0.16996893617841932,2022-01-15
51,1.243284469266743,3.4669819805357185,-1.7367295757059453,4.738823255959882,114.29962111431499,1.9660969062598663,2.0950153464424353,8.125565667781567,-0.8849986985302534,4.733875236343968,113.73546123504634,1.7540745811979706,1642291200.0,XGBoost model,5.778098106384269,0.4127147104144097,7.1427432143874,0.1760953664779663,2022-01-16
54,1.3115846202977648,3.712051245901319,-1.4062143926160233,4.79948362520704,121.44768879920484,1.9668420663192006,2.163315497473457,8.699934505018925,-0.5544835154403314,4.802140288672433,121.77076339721675,2.083844604228559,1642377600.0,XGBoost model,8.03530216217041,0.5743688372373582,7.148067684889846,0.24506926536560059,2022-01-17
57,1.378678614542308,3.9696527189678608,-1.3563415663422722,4.856654141971927,128.59322683802952,1.9664881113913177,2.230409491718,9.303675077444979,-0.5046106891665801,4.869225022269639,130.21996021270746,2.134071385430193,1642464000.0,XGBoost model,8.449196815490719,0.6037405724260543,7.145538038824695,0.25760147306654185,2022-01-18
60,1.4398031066269064,4.2198648717668314,-1.385446109790912,4.9107406712646355,135.73991583973608,1.9666491727683983,2.2915339838025983,9.890097299959926,-0.5337152326152204,4.930332053698394,138.42546939849848,2.1048057806044724,1642550400.0,XGBoost model,8.20550918579101,0.5864222225149474,7.146689001706554,0.2502121527989706,2022-01-19
63,1.4896918989790753,4.435728655921087,-1.5331076991435058,4.962053567149115,142.88692270669128,1.9666936490538347,2.3414227761547672,10.396017250882256,-0.6813768219678137,4.980205201110833,145.50423622131342,1.9570997149664426,1642636800.0,XGBoost model,7.07876682281494,0.5059199509223303,7.1470068669552,0.21586378415425617,2022-01-20
66,1.5374898912460204,4.652896324793497,-1.5270855561808334,5.01082567294205,150.02855954534948,1.9659419991897227,2.3892207684217124,10.904993116418522,-0.6753546790051413,5.0280240031326375,152.63111591339106,1.9638735077932266,1642723200.0,XGBoost model,7.12687969207763,0.5089758655362661,7.141636838658194,0.2171676688724094,2022-01-21
69,1.589298976538944,4.900312489933437,-1.396683481061554,5.0573694536347995,157.17651193107181,1.966825936072189,2.441029853714636,11.484862382656999,-0.5449526038858622,5.07980991938969,160.743498802185,2.0933916460300392,1642809600.0,XGBoost model,8.11238288879394,0.5798692662384776,7.147952385722338,0.24741616513994005,2022-01-22
72,1.6245565902677548,5.0761677159203415,-1.738094202068105,5.101805916684621,164.31838482521673,1.9659750520585433,2.4762874674434467,11.897014275802507,-0.8863633248924131,5.115081915335794,166.51442050933832,1.7528318090371349,1642896000.0,XGBoost model,5.77092170715332,0.4121518931455083,7.141872894144921,0.1758552259869046,2022-01-23
75,1.6559909430785933,5.238268176714579,-1.8195390075904017,5.144339322315791,171.45816865669633,1.9656825001900373,2.507721820254285,12.27692912576596,-0.9678081304147099,5.14653772789898,171.83551788330072,1.671679555383344,1642982400.0,XGBoost model,5.321097373962401,0.37991484996345315,7.139783831479599,0.16210046079423696,2022-01-24
78,1.6910047866849354,5.424928863843282,-1.6784628176732193,5.185149183252167,178.60009194504826,1.9659821081949327,2.5427356638606273,12.714405778189501,-0.8267319404975273,5.181564379418803,177.96099185943598,1.8124561372956305,1643068800.0,XGBoost model,6.1254739761352495,0.4374766524235408,7.141923288351932,0.1866606871287028,2022-01-25
81,1.721928438966663,5.595308277342054,-1.7697274846860067,5.224371054034297,185.74431064569814,1.9663034562984962,2.5736593161423547,13.113724009606575,-0.917996607510315,5.21248918926763,183.55038166046137,1.7208701221792801,1643155200.0,XGBoost model,5.58938980102539,0.3993182314170731,7.144218700649881,0.1703794134987725,2022-01-26
84,1.7504256711809756,5.757052765952216,-1.8217374196891434,5.2621054074126725,192.8871701656178,1.9661131891615293,2.6021565483566675,13.49280456756221,-0.9700065425134516,5.24099280323026,188.85750770568842,1.6690504543131104,1643241600.0,XGBoost model,5.30712604522705,0.37908055795563594,7.142859519919656,0.1617444886101617,2022-01-27
