date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-01-23,0.1116952896118163,7.959741788307827e-09,2.072422514642044e-07,15.0,18.0,1.5472571055094402e-07,1.8489718437194828e-07,3.396228949228923e-07
2022-01-24,0.06554794311523421,4.658827819228172e-09,2.0747588220187727e-07,15.0,18.0,9.071727593739828e-08,1.0806361834208172e-07,1.9878089427948e-07
2022-01-25,0.0729956626892088,5.184441097180048e-09,2.072100152696884e-07,15.0,18.0,1.009027163187663e-07,1.2030482292175293e-07,2.212075392405192e-07
2022-01-26,0.0698988437652587,4.967848026752472e-09,2.0732083876854171e-07,15.0,18.0,9.670257568359374e-08,1.1526346206665041e-07,2.1196603775024417e-07
2022-01-27,0.0694420337677001,4.929063925544421e-09,2.054256364605099e-07,15.0,18.0,9.59525505701701e-08,1.1435866355895995e-07,2.1031121412913006e-07
2022-01-28,0.0924766063690184,6.584948076605797e-09,2.099868455140973e-07,15.0,18.0,1.280874013900757e-07,1.528763771057129e-07,2.8096377849578854e-07
2022-01-29,0.09989595413208,7.104776412579749e-09,2.0617935737900638e-07,15.0,18.0,1.382254891925388e-07,1.6491810480753583e-07,3.031435940000746e-07
2022-01-30,0.0790050029754637,5.622879785299301e-09,2.0745115065730547e-07,15.0,18.0,1.093884309132894e-07,1.3052622477213544e-07,2.399146556854249e-07
2022-01-31,0.07573199272155749,5.374003106554351e-09,2.0783743112299917e-07,15.0,18.0,1.047442356745402e-07,1.2455145517985026e-07,2.2929569085439052e-07
2022-02-01,0.0659592151641844,4.6777736206187154e-09,2.076472871214527e-07,15.0,18.0,9.117556942833794e-08,1.084136962890625e-07,1.9958926571740047e-07
2022-02-02,0.0683562755584715,4.850673072404333e-09,2.0538801416112095e-07,15.0,18.0,9.446508354610868e-08,1.1250138282775882e-07,2.0696646637386748e-07
2022-02-03,0.0705869197845457,5.013384072581927e-09,2.056324660482136e-07,15.0,18.0,9.759565194447834e-08,1.1631329854329428e-07,2.1390895048777267e-07
2022-02-04,0.06983542442321759,4.9587274689144566e-09,2.059798748830533e-07,15.0,18.0,9.657012091742621e-08,1.150067647298177e-07,2.1157688564724402e-07
2022-02-05,0.06782388687133781,4.8217514668570635e-09,2.0790783379705847e-07,15.0,18.0,9.385413593716092e-08,1.1187831560770673e-07,2.0573245154486768e-07
2022-02-06,0.0683338642120359,4.852878707647323e-09,2.0777012249334942e-07,15.0,18.0,9.447733561197916e-08,1.1258323987325034e-07,2.0706057548522952e-07
2022-02-07,0.16694998741149888,1.1917365412977007e-08,2.0742988852032134e-07,15.0,18.0,2.3148324754503042e-07,2.770018577575684e-07,5.084851053025988e-07
2022-02-08,0.0812587738037107,5.7715731275743915e-09,2.0612832133683594e-07,15.0,18.0,1.1231071419186067e-07,1.3394832611083992e-07,2.462590403027005e-07
2022-02-09,0.07348895072936999,5.228560010724598e-09,2.0597195488310478e-07,15.0,18.0,1.0171069039238823e-07,1.2137929598490397e-07,2.2308998637729221e-07
2022-02-10,0.0862178802490233,6.138493976526792e-09,2.0776813721247428e-07,15.0,18.0,1.193983687294854e-07,1.42516295115153e-07,2.619146638446384e-07
2022-02-11,0.0917232036590575,6.517520208491219e-09,2.0661976174798312e-07,15.0,18.0,1.2686981095208062e-07,1.51216983795166e-07,2.7808679474724663e-07
2022-02-12,0.082890748977661,5.877881331510014e-09,2.078078356888714e-07,15.0,18.0,1.1446641551123725e-07,1.3632853825887044e-07,2.5079495377010775e-07
2022-02-13,0.0755739212036131,5.369761022726696e-09,2.0698472041200462e-07,15.0,18.0,1.044929027557373e-07,1.2462178866068524e-07,2.2911469141642253e-07
2022-02-14,0.0757250785827636,5.384585809641416e-09,2.0628913422016336e-07,15.0,18.0,1.048031780454848e-07,1.2494405110677084e-07,2.297472291522556e-07
2022-02-15,0.0987062454223631,7.019441145592266e-09,2.0535134136973045e-07,15.0,18.0,1.3652079635196263e-07,1.6298174858093266e-07,2.995025449328953e-07
2022-02-16,0.1280047893524168,9.123492993712426e-09,2.0719342225416766e-07,15.0,18.0,1.7733275890350343e-07,2.1194458007812497e-07,3.892773389816285e-07
2022-02-17,0.09781193733215321,6.9664872737063304e-09,2.0711341970663744e-07,15.0,18.0,1.3550155692630345e-07,1.61741574605306e-07,2.9724313153160943e-07
2022-02-18,0.0781440734863279,5.555518660545348e-09,2.0620061352192866e-07,15.0,18.0,1.0813872019449871e-07,1.289017995198568e-07,2.3704051971435552e-07
2022-02-19,0.0642240047454832,4.561567221085231e-09,2.0804936699337916e-07,15.0,18.0,8.882085482279462e-08,1.0581016540527347e-07,1.9463102022806805e-07
2022-02-20,0.0630018711090086,4.475176477697161e-09,2.077134181239241e-07,15.0,18.0,8.712477154201935e-08,1.038201649983724e-07,1.9094493654039172e-07
2022-02-21,0.0826640129089354,5.880285644663705e-09,2.0622447874986413e-07,15.0,18.0,1.1446409755282931e-07,1.3643344243367526e-07,2.5089753998650446e-07
2022-02-22,0.0983285903930663,6.997280797693467e-09,2.064570286287044e-07,15.0,18.0,1.361224386427138e-07,1.6243457794189454e-07,2.9855701658460835e-07
2022-02-23,0.0762257575988768,5.421401757796607e-09,2.077284394536073e-07,15.0,18.0,1.054803530375163e-07,1.258377234141032e-07,2.3131807645161948e-07
2022-02-24,0.1153955459594725,8.23007412923707e-09,2.076314249513901e-07,15.0,18.0,1.5994442833794487e-07,1.9121289253234865e-07,3.511573208702936e-07
2022-02-25,0.0912933349609374,6.497545317610106e-09,2.0620262316235247e-07,15.0,18.0,1.2637277444203697e-07,1.508617401123047e-07,2.7723451455434163e-07
2022-02-26,0.06482028961181639,4.605211170249516e-09,2.070003025807117e-07,15.0,18.0,8.96626048617893e-08,1.0683059692382812e-07,1.9649320178561742e-07
2022-02-27,0.0874431133270262,6.1992630302906055e-09,2.0732787058076906e-07,15.0,18.0,1.2078881263732913e-07,1.437187194824219e-07,2.6450753211975105e-07
2022-02-28,0.09942936897277821,7.071834683683185e-09,2.0794469392194007e-07,15.0,18.0,1.3757414287990995e-07,1.6416390736897787e-07,3.017380502488878e-07
2022-03-01,0.0659279823303222,4.672173387010892e-09,2.077984519993832e-07,15.0,18.0,9.104708830515545e-08,1.0830322901407877e-07,1.9935031731923423e-07
2022-03-02,0.13830661773681638,9.864563152790072e-09,2.067316002891811e-07,15.0,18.0,1.916925112406413e-07,2.2920449574788418e-07,4.2089700698852536e-07
2022-03-03,0.054070949554443304,3.835571748481857e-09,2.0718559631048046e-07,15.0,18.0,7.471409108903673e-08,8.89404614766439e-08,1.6365455256568064e-07
2022-03-04,0.1193470954895018,8.50296444826656e-09,2.0588944377193563e-07,15.0,18.0,1.6534262233310275e-07,1.9745826721191407e-07,3.6280088954501683e-07
2022-03-05,0.0759069919586179,5.39265865193473e-09,2.0772170771752622e-07,15.0,18.0,1.0493463940090605e-07,1.2515703837076823e-07,2.3009167777167427e-07
2022-03-06,0.0691320896148681,4.912236837810942e-09,2.064378700362945e-07,15.0,18.0,9.562638070848254e-08,1.139668623606364e-07,2.0959324306911892e-07
