date,duration,emissions,emissions_rate,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed
2022-01-01,6.66899681091307,0.4735872939957513,0.20707825807167562,15.0,18.0,0.09218984180026586,0.1098783810933431,0.20206822289360893
2022-01-02,8.65046977996825,0.6155842593775855,0.20540308613411223,15.0,18.0,0.11973844634162055,0.14291644096374514,0.2626548873053657
2022-01-03,6.892251968383771,0.48941136871443863,0.20763496664391284,15.0,18.0,0.09534623887803821,0.11347373326619467,0.20881997214423287
2022-01-04,7.00018405914305,0.4973316325810221,0.20816634711485843,15.0,18.0,0.096879071659512,0.11532028516133626,0.21219935682084828
2022-01-05,7.9519271850585795,0.5648701705005434,0.20535234301971614,15.0,18.0,0.10995136366950141,0.13106505076090494,0.24101641443040633
2022-01-06,8.078098297119121,0.575041393008497,0.2075781556937554,15.0,18.0,0.11185970571306017,0.13349652290344238,0.2453562286165027
2022-01-07,6.00178241729735,0.42612810807757906,0.20733605789975826,15.0,18.0,0.08302066061231828,0.09879787762959798,0.18181853824191624
2022-01-08,9.703826904296859,0.690109430200524,0.20668631476686122,15.0,18.0,0.1342611180411445,0.16019185384114584,0.29445297188229036
2022-01-09,6.64308071136473,0.47190054957734223,0.20773407297995428,15.0,18.0,0.0918941365347968,0.10945439338684085,0.20134852992163765
2022-01-10,7.89299011230467,0.5616343592471548,0.20784302788817055,15.0,18.0,0.10929273234473334,0.13034303983052573,0.23963577217525905
2022-01-11,11.20951175689695,0.7989388257794913,0.20747660515042654,15.0,18.0,0.1553210947248671,0.18556674321492514,0.3408878379397922
2022-01-12,10.25290489196776,0.7303671627243362,0.20715638010804904,15.0,18.0,0.14200309912363696,0.16962687174479166,0.3116299708684286
2022-01-13,9.113383293151829,0.6487161292433741,0.20759544575517297,15.0,18.0,0.12613634268442792,0.15065511067708334,0.2767914533615113
2022-01-14,6.49719238281248,0.4615176109208001,0.20751590698280242,15.0,18.0,0.08985135290357804,0.10706702868143717,0.19691838158501526
2022-01-15,7.19392299652098,0.510853061358134,0.20566687898173747,15.0,18.0,0.09943048159281415,0.11853814125061038,0.21796862284342453
2022-01-16,6.9534301757812305,0.49354417969120873,0.20603331341219508,15.0,18.0,0.09610984060499403,0.11447350184122723,0.21058334244622126
2022-01-17,7.5339078903198,0.5356258685655065,0.2099543735350629,15.0,18.0,0.10426210032569039,0.12427647908528647,0.22853857941097683
2022-01-18,9.661674499511701,0.6885968393882117,0.2079905447733652,15.0,18.0,0.13388593991597497,0.15992164611816406,0.29380758603413903
2022-01-19,8.61825942993162,0.6137860690686439,0.2078659635920873,15.0,18.0,0.11937651369306776,0.14251112937927246,0.2618876430723403
2022-01-20,9.074902534484849,0.6459247045980562,0.20723402978075123,15.0,18.0,0.12564427322811553,0.14995614687601727,0.2756004201041328
2022-01-21,7.86588191986083,0.559778583387534,0.20733680849729827,15.0,18.0,0.10890265305836996,0.1299413045247396,0.23884395758310956
2022-01-22,8.950781822204581,0.6367212608191704,0.20609571325267878,15.0,18.0,0.12388858530256483,0.14778494834899902,0.2716735336515638
2022-01-23,11.16952896118163,0.7959741788307826,0.20724225146420439,15.0,18.0,0.15472571055094403,0.18489718437194827,0.3396228949228923
2022-01-24,6.55479431152342,0.4658827819228172,0.2074758822018773,15.0,18.0,0.09071727593739828,0.10806361834208171,0.19878089427947998
2022-01-25,7.299566268920881,0.5184441097180048,0.2072100152696884,15.0,18.0,0.10090271631876628,0.12030482292175293,0.22120753924051917
2022-01-26,6.98988437652587,0.49678480267524716,0.2073208387685417,15.0,18.0,0.09670257568359374,0.11526346206665042,0.21196603775024417
2022-01-27,6.944203376770011,0.49290639255444213,0.2054256364605099,15.0,18.0,0.09595255057017009,0.11435866355895996,0.21031121412913004
2022-01-28,9.247660636901841,0.6584948076605797,0.20998684551409733,15.0,18.0,0.1280874013900757,0.1528763771057129,0.2809637784957886
2022-01-29,9.989595413208,0.7104776412579749,0.2061793573790064,15.0,18.0,0.1382254891925388,0.16491810480753583,0.3031435940000746
2022-01-30,7.900500297546369,0.5622879785299302,0.20745115065730546,15.0,18.0,0.10938843091328938,0.13052622477213544,0.23991465568542492
2022-01-31,7.57319927215575,0.537400310655435,0.20783743112299918,15.0,18.0,0.1047442356745402,0.12455145517985028,0.2292956908543905
2022-02-01,6.595921516418439,0.4677773620618716,0.20764728712145275,15.0,18.0,0.09117556942833793,0.10841369628906251,0.19958926571740046
2022-02-02,6.83562755584715,0.4850673072404333,0.20538801416112096,15.0,18.0,0.09446508354610868,0.11250138282775883,0.20696646637386748
2022-02-03,7.058691978454569,0.5013384072581927,0.2056324660482136,15.0,18.0,0.09759565194447836,0.11631329854329428,0.21390895048777267
2022-02-04,6.98354244232176,0.49587274689144567,0.2059798748830533,15.0,18.0,0.09657012091742621,0.1150067647298177,0.21157688564724403
2022-02-05,6.78238868713378,0.4821751466857063,0.20790783379705846,15.0,18.0,0.09385413593716092,0.11187831560770674,0.20573245154486766
2022-02-06,6.83338642120359,0.4852878707647323,0.20777012249334942,15.0,18.0,0.09447733561197916,0.11258323987325035,0.2070605754852295
2022-02-07,16.694998741149888,1.1917365412977008,0.20742988852032135,15.0,18.0,0.2314832475450304,0.27700185775756836,0.5084851053025987
2022-02-08,8.125877380371069,0.5771573127574392,0.20612832133683595,15.0,18.0,0.11231071419186064,0.13394832611083993,0.24625904030270052
2022-02-09,7.348895072936999,0.5228560010724599,0.20597195488310477,15.0,18.0,0.10171069039238823,0.12137929598490398,0.22308998637729222
